abbot_NOUN	m u
cloth_NOUN	p u
club_NOUN	m a
coach_NOUN	t a
coastline_NOUN	p e m
cock_NOUN	s a
cod_NOUN	e m
coffin_NOUN	k a p
coil_NOUN	i p
coin_NOUN	e w
collapse_NOUN	m e s
collar_NOUN	t o m
column_NOUN	m a t
command_NOUN	k a n
cone_NOUN	k o
container_NOUN	s u m
cook_NOUN	t a
copper_NOUN	m o t
coral_NOUN	a b
cord_NOUN	b e
corn_NOUN	t i
corner_NOUN	n e s
corridor_NOUN	w i n
cot_NOUN	m e
cottage_NOUN	t o p
cotton_NOUN	j e k
couch_NOUN	t o
count_VERB	i p
cow_NOUN	w i
cradle_NOUN	n e j
crawl_VERB	m u n
cream_NOUN	b a j
creature_NOUN	w i w
crescent_NOUN	k o w
crook_NOUN	t e
crop_NOUN	w u
cross_NOUN	a p
crown_NOUN	t e j
cry_NOUN	j u
cup_NOUN	u k
dagger_NOUN	s e m
dairy_NOUN	n a m
dance_NOUN	w a k
dance_VERB	j i w
daughter_NOUN	k u s
dawn_NOUN	k e
death_NOUN	k u t
debris_NOUN	b u w
deceased_NOUN	s e m
decoration_NOUN	j u m
devil_NOUN	j i k
dew_NOUN	w a
diagonal_ADJ	s a j
diamond_NOUN	p a j
dice_NOUN	k u
disgusting_ADJ	p u s
disk_NOUN	a m
ditch_NOUN	b i
dock_NOUN	s e
dog_NOUN	o m
dolphin_NOUN	w e j
dome_NOUN	p a
donkey_NOUN	j e b
door_NOUN	b u
dot_NOUN	o p
dough_NOUN	j a s
dove_NOUN	m i
dragon_NOUN	s u b
drain_NOUN	o p
drake_NOUN	b a n
draw_VERB	n u
dress_VERB	n u t
dresser_NOUN	k e j
drill_NOUN	w i
drill_VERB	m i w
drink_NOUN	j i n
drug_NOUN	s u
dry_ADJ	u
dry_VERB	o p
duck_NOUN	u j
dustbin_NOUN	b e t
dwarf_NOUN	k e n
ear_NOUN	n u
east_NOUN	o m
eat_VERB	o n
eating_NOUN	n i m
egg_NOUN	e
elephant_NOUN	n i b
embrace_NOUN	b a s
enclosed_ADJ	k a s
enclosure_NOUN	k o j
entrance_NOUN	s o m
equal_ADJ	u b
erect_VERB	p u
excited_ADJ	k i m
eye_NOUN	t a
face_NOUN	e m
fairy_NOUN	k u w
falcon_NOUN	m i m
fall_NOUN	i n
fall_VERB	s o
fan_NOUN	b a
farmer_NOUN	m a j
fast_ADJ	n i
fat_ADJ	u
fat_NOUN	u w
feather_NOUN	t e t
feed_NOUN	n a
fen_NOUN	n o
fence_NOUN	w o m
ferry_NOUN	m a k
field_NOUN	m i
fiery_ADJ	n e
fight_NOUN	i p
fighting_NOUN	w e j
finger_NOUN	n e j
fish_NOUN	u p
fisherman_NOUN	b o w
fishing_NOUN	p i s
fist_NOUN	t i
flag_NOUN	n e
flame_NOUN	n u m
flat_ADJ	b a
flesh_NOUN	p o
flight_NOUN	p e b
float_NOUN	b u b
float_VERB	m a
floating_ADJ	p i j
flood_VERB	k a
flower_NOUN	b i t
fluid_NOUN	w i
flute_NOUN	p a
fly_NOUN	m o
foe_NOUN	u k
fog_NOUN	w u
fold_NOUN	n o
folder_NOUN	s a m
foot_NOUN	p i
footpath_NOUN	b u n
fork_NOUN	u t
fort_NOUN	j a
fox_NOUN	e p
frail_ADJ	i k
frame_NOUN	p i w
freezing_ADJ	n o j
frog_NOUN	p a
fruit_NOUN	u m
fuel_NOUN	p o
funeral_NOUN	n o m
fungus_NOUN	k i t
furnace_NOUN	p o w
furniture_NOUN	j i w
gale_NOUN	u m
game_NOUN	a j
gap_NOUN	a j
garment_NOUN	k u s
gate_NOUN	b o
gateway_NOUN	t i n
ghost_NOUN	k i s
ginger_NOUN	k u t
girl_NOUN	o s
glass_NOUN	n o n
glossy_ADJ	w a t
goat_NOUN	k o
goblin_NOUN	m i n
god_NOUN	a t
goddess_NOUN	n e t
gold_NOUN	a n
goldfish_NOUN	s o n
goose_NOUN	j o
gorge_NOUN	p a j
governor_NOUN	s a j
grain_NOUN	a s
grandmother_NOUN	p u j
granite_NOUN	p e w
grape_NOUN	p o m
grassland_NOUN	m o m
grassy_ADJ	w o
grateful_ADJ	t o w
grin_NOUN	a p
groin_NOUN	k a
guest_NOUN	t o n
gut_NOUN	k i
hair_NOUN	j a
hall_NOUN	o j
hammer_NOUN	n e b
hand_NOUN	i n
handbag_NOUN	p i t
happy_ADJ	k a
hare_NOUN	e w
harp_NOUN	o b
hat_NOUN	s a
hay_NOUN	e j
head_NOUN	j o
heart_NOUN	m u t
heel_NOUN	i p
height_NOUN	b a k
helmet_NOUN	k i p
hem_NOUN	a k
hemisphere_NOUN	t u n
hen_NOUN	o b
heron_NOUN	j i
hide_VERB	e m
high_ADJ	m e
highway_NOUN	m i j
hill_NOUN	a b
hind_ADJ	n u
holly_NOUN	j a j
home_NOUN	t o
horizon_NOUN	m i p
horn_NOUN	a k
horse_NOUN	o w
hospital_NOUN	k a p
hot_ADJ	e
hotel_NOUN	n u n
house_NOUN	p e
hunt_NOUN	a p
hunter_NOUN	m i p
hut_NOUN	i m
inch_NOUN	a t
infant_NOUN	k o p
injury_NOUN	m u m
ink_NOUN	n u
inn_NOUN	u t
inscription_NOUN	k i n
insect_NOUN	p e j
intestine_NOUN	m e m
inverted_ADJ	w e s
invisible_ADJ	s i s
iron_NOUN	a w
jade_NOUN	u n
jar_NOUN	i m
jaw_NOUN	m a
jug_NOUN	m i
juice_NOUN	t e
jump_NOUN	i n
jungle_NOUN	w a j
juvenile_ADJ	n u s
kid_NOUN	i w
kidney_NOUN	j i p
king_NOUN	n a
kingdom_NOUN	w o m
kitchen_NOUN	n o w
knee_NOUN	s e
knife_NOUN	a j
knit_VERB	a n
knock_VERB	w e
knot_NOUN	k e
labour_VERB	n o p
lake_NOUN	b a
lamb_NOUN	e k
land_NOUN	b o
landing_NOUN	t i t
landscape_NOUN	m e m
laugh_VERB	t a p
leather_NOUN	t o m
leg_NOUN	e j
lettuce_NOUN	n a t
lever_NOUN	j e w
lid_NOUN	a j
lily_NOUN	a j
lime_NOUN	u k
linen_NOUN	m u s
lion_NOUN	k u
lipstick_NOUN	w o s
little_ADJ	k o b
living-room_NOUN	m e w
loaf_NOUN	i j
loch_NOUN	w a
log_NOUN	s u
lord_NOUN	a b
lotus_NOUN	b i j
lung_NOUN	t a
maid_NOUN	t u
male_ADJ	o m
malt_NOUN	t u
mammal_NOUN	t i t
man_NOUN	j u
mantle_NOUN	j e p
marble_NOUN	s u j
mare_NOUN	s u
marsh_NOUN	t a n
mask_NOUN	n a
mason_NOUN	k a k
mast_NOUN	s u
match_NOUN	j i
meal_NOUN	u p
measure_NOUN	b e k
measurement_NOUN	b u w
meat_NOUN	o w
melting_NOUN	n o t
men_NOUN	s i
merchant_NOUN	m u b
mercury_NOUN	s u k
message_NOUN	s i s
metal_NOUN	m a b
midday_NOUN	w u p
midnight_NOUN	n e n
milk_NOUN	s i
mole_NOUN	a m
monkey_NOUN	p e n
monster_NOUN	n a p
moon_NOUN	n e
moor_NOUN	w o
morning_NOUN	p u n
mortar_NOUN	b a w
motherhood_NOUN	p i b
mould_NOUN	p e
mound_NOUN	t u
mount_NOUN	j o p
mountain_NOUN	w a m
mouth_NOUN	j e
mud_NOUN	u t
mug_NOUN	n i
mummy_NOUN	n u n
muscular_ADJ	m o b
mushroom_NOUN	b e m
mustard_NOUN	b e s
naked_ADJ	u s
nanny_NOUN	p i m
navy_NOUN	o w
neck_NOUN	k i
necklace_NOUN	t i k
net_NOUN	s o
night_NOUN	s u s
noble_NOUN	p i w
nod_NOUN	o
nude_ADJ	u m
nurse_NOUN	m i t
nut_NOUN	j u
oak_NOUN	n i
oats_NOUN	s a
offering_NOUN	m i t
official_NOUN	s e t
oil_NOUN	e j
old_ADJ	u
olive_ADJ	n i
onion_NOUN	k e
ore_NOUN	w o
oval_ADJ	n o
oven_NOUN	k o
overcoat_NOUN	j e w
owl_NOUN	i s
paint_NOUN	k e
palace_NOUN	t e w
palm_NOUN	a w
pants_NOUN	t a n
parrot_NOUN	n a j
pasture_NOUN	w u n
pavilion_NOUN	j u t
peach_NOUN	w u w
peacock_NOUN	k i p
peel_NOUN	i m
pen_NOUN	k u
pencil_NOUN	n i n
peninsula_NOUN	b e p
penis_NOUN	t a j
pest_NOUN	w i
pick_NOUN	w a
pie_NOUN	e w
piece_NOUN	p a p
pig_NOUN	u
pile_NOUN	o b
pillar_NOUN	j a j
pillow_NOUN	b a t
pilot_NOUN	n a p
pin_NOUN	i b
pine_NOUN	n u
pineapple_NOUN	j u k
pipe_NOUN	j e
plain_NOUN	k o n
plank_NOUN	w a w
plant_NOUN	m o m
plant_VERB	u m
platform_NOUN	w i p
play_NOUN	e p
plug_VERB	a b
pocket_NOUN	s e b
point_NOUN	j i b
pole_NOUN	e p
pond_NOUN	p u
pony_NOUN	t u
pool_NOUN	b e
pot_NOUN	i w
potato_NOUN	j i k
pound_NOUN	i n
powder_NOUN	t u t
praise_NOUN	t o t
pray_VERB	s e
preacher_NOUN	s u p
pregnant_ADJ	m i t
press_NOUN	o t
priest_NOUN	n u p
prince_NOUN	k e n
princess_NOUN	s e n
prison_NOUN	p i j
pudding_NOUN	m u j
puppy_NOUN	p u
pyramid_NOUN	j e j
queen_NOUN	s u t
rabbit_NOUN	s i m
rag_NOUN	i
rain_NOUN	w e
rainbow_NOUN	w u j
ram_NOUN	u w
rapid_ADJ	n o
rat_NOUN	o j
raw_ADJ	u
recreation_NOUN	w i n
reed_NOUN	p e
remains_NOUN	s e w
rent_NOUN	s i
residence_NOUN	t u m
restaurant_NOUN	p a m
rib_NOUN	e t
rice_NOUN	a m
rich_ADJ	e p
ridge_NOUN	j i
ring_NOUN	k o
ripe_ADJ	s i
rising_ADJ	k i s
river_NOUN	p i j
riverside_NOUN	m u k
road_NOUN	b i
roe_NOUN	u j
roll_NOUN	b u
root_NOUN	k o
rope_NOUN	w u
row_NOUN	i b
row_VERB	e j
ruby_NOUN	n i
rudder_NOUN	n u s
rug_NOUN	o s
run_VERB	u w
rush_NOUN	t e
rye_NOUN	i p
saddle_NOUN	b e j
sail_NOUN	o s
sailor_NOUN	s u w
saloon_NOUN	s e j
salt_NOUN	m o
sand_NOUN	t o
sandstone_NOUN	k e j
sausage_NOUN	s i p
saw_NOUN	n a
scale_NOUN	j i t
scalp_NOUN	b u
scarf_NOUN	n a k
scholar_NOUN	m u p
screw_NOUN	o b
sculpture_NOUN	s o j
sea_NOUN	s o
seal_NOUN	j e
seam_NOUN	m i
seaside_NOUN	t a p
season_NOUN	w i p
seat_NOUN	t u
seed_NOUN	m u
senior_ADJ	j o
servant_NOUN	p o j
shadow_NOUN	t u n
shark_NOUN	p e
sheep_NOUN	m o
sheet_NOUN	p o m
shell_NOUN	s i
shelter_NOUN	m o t
shepherd_NOUN	n e k
shield_NOUN	t o j
shine_NOUN	m i j
shiny_ADJ	u j
ship_NOUN	a k
shirt_NOUN	n e
shoe_NOUN	j o
shopping_NOUN	m u t
shore_NOUN	p u k
shower_NOUN	s e n
shrine_NOUN	w o b
sick_ADJ	s e
side_NOUN	a k
silk_NOUN	b u
silver_NOUN	t i m
sit_VERB	u b
skin_NOUN	m e
skirt_NOUN	n e j
skull_NOUN	m a p
sky_NOUN	o m
sleeping_NOUN	b o k
slide_VERB	b a n
slope_NOUN	j i
smoke_NOUN	m o k
snail_NOUN	b o j
snake_NOUN	p i p
soap_NOUN	k u
soldier_NOUN	j u m
son_NOUN	i j
sound_NOUN	t i
southern_ADJ	s o p
speak_VERB	n o
speech_NOUN	s i j
spike_NOUN	n u b
spirit_NOUN	p u n
spoon_NOUN	p e j
sport_NOUN	e w
spot_NOUN	i b
squash_NOUN	k u t
stack_NOUN	m u
staff_NOUN	j i
stain_NOUN	p e k
staircase_NOUN	w a b
stairs_NOUN	n i j
star_NOUN	w a
station_NOUN	p a s
steak_NOUN	j a
steer_VERB	t a t
stem_NOUN	t o
stick_NOUN	s u
sting_NOUN	p u
stitch_NOUN	p e w
stocking_NOUN	p a s
stone_NOUN	a p
stool_NOUN	m o t
storm_NOUN	p e
strap_NOUN	e k
strawberry_NOUN	w i p
strike_NOUN	b u j
stroke_VERB	w i b
structure_NOUN	k a t
suitcase_NOUN	w i w
sulphur_NOUN	s e t
summit_NOUN	m u s
sun_NOUN	k i
sunset_NOUN	t e k
sunshine_NOUN	p i t
support_NOUN	m u w
swallow_VERB	b e b
sweat_NOUN	t a
swim_NOUN	j a
swim_VERB	j a
swimming_NOUN	m a b
swing_VERB	p i
sword_NOUN	a p
table_NOUN	j e
tablet_NOUN	j u p
tail_NOUN	n a
talking_NOUN	t e m
taste_VERB	b i b
tasty_ADJ	m u
tax_NOUN	m a
terrain_NOUN	w i b
text_NOUN	j o
theft_NOUN	w a s
thin_ADJ	w i
thorn_NOUN	m i b
throat_NOUN	b o j
throne_NOUN	t u j
throw_NOUN	p a
thunder_NOUN	s a w
tile_NOUN	a b
tiller_NOUN	n i b
time_NOUN	u t
tired_ADJ	b u
tobacco_NOUN	s i k
toe_NOUN	e t
toilet_NOUN	n o s
tomato_NOUN	j a j
tomb_NOUN	u t
tongue_NOUN	m i n
tool_NOUN	m o
towel_NOUN	m u j
transportation_NOUN	m e p
trap_NOUN	b o
tray_NOUN	b i
tree_NOUN	w o
trench_NOUN	m u m
troop_NOUN	s e
trousers_NOUN	p i m
trout_NOUN	p u s
truck_NOUN	t o w
trumpet_NOUN	t e j
trunk_NOUN	t i
tunnel_NOUN	w o j
umbrella_NOUN	p u k
undergrowth_NOUN	k o t
untidy_ADJ	p o
vase_NOUN	e s
vegetable_NOUN	s i b
vehicle_NOUN	m a m
ventral_ADJ	n u n
vessel_NOUN	p u b
villa_NOUN	k e w
village_NOUN	j a w
vine_NOUN	n e
vinegar_NOUN	k i b
walk_NOUN	i m
wall_NOUN	o j
walnut_NOUN	m a w
war_NOUN	u n
ward_NOUN	e s
warehouse_NOUN	j o j
warrior_NOUN	m u w
wash_NOUN	k a
watch_VERB	w e s
water_NOUN	j u
wave_NOUN	p o
weapon_NOUN	w o b
wear_VERB	e k
weather_NOUN	p u k
weaving_NOUN	j e t
wed_VERB	a n
wedge_NOUN	t a k
weed_NOUN	b e
west_NOUN	e t
wet_ADJ	i
wheat_NOUN	s e b
wheel_NOUN	p i p
whip_NOUN	w a
white_NOUN	u j
whole_ADJ	p i
wig_NOUN	k i
wine_NOUN	p o
wing_NOUN	k e
wolf_NOUN	m a
woman_NOUN	e t
women_NOUN	w e
wood_NOUN	t o
wooded_ADJ	p o t
woodwork_NOUN	s i p
wool_NOUN	u p
work_NOUN	e n
worker_NOUN	k o b
workplace_NOUN	p e p
worship_VERB	s o m
wrist_NOUN	s i b
yard_NOUN	u s
yeast_NOUN	i j
yellow_ADJ	m u
yoghurt_NOUN	t i k
